Customer_subtype,Number_of_houses,Avg_size_household,Avg_age,Customer_main_type,Avg_Salary,label
Career and childcare,1,3,40-50 years,Driven Growers,22172,0
Village families,1,3,40-50 years,Family with grown ups,41758,0
Religious elderly singles,1,2,50-60 years,Retired and Religious,27086,0
"High Income, expensive child",1,2,50-60 years,Successful hedonists,30608795,0
Low income catholics,1,2,40-50 years,Retired and Religious,36237,0
Couples with teens 'Married with children',1,3,40-50 years,Family with grown ups,27016,0
Young seniors in the city,1,2,40-50 years,Cruising Seniors,10100,0
Large religious families,1,3,30-40 years,Conservative families,36885,0
Young seniors in the city,1,2,40-50 years,Cruising Seniors,40696,0
Young and rising,1,2,30-40 years,Living well,20143,0
Large religious families,1,2,50-60 years,Conservative families,22227,0
Mixed rurals,1,4,40-50 years,Farmers,22578,0
Seniors in apartments,1,3,40-50 years,Cruising Seniors,27158,0
Porchless seniors: no front yard,1,2,40-50 years,Retired and Religious,39214,0
Traditional families,1,3,40-50 years,Conservative families,27994,0
Stable family,1,4,40-50 years,Average Family,12145,0
Mixed rurals,1,3,40-50 years,Farmers,27704,0
High status seniors,1,1,50-60 years,Successful hedonists,21993269,0
Village families,1,3,40-50 years,Family with grown ups,37032,0
Middle class families,1,3,40-50 years,Driven Growers,44978,0
Middle class families,1,3,30-40 years,Driven Growers,10514,0
"Young, low educated",1,2,40-50 years,Living well,34110,0
Young all american family,1,3,50-60 years,Average Family,33596,0
Young and rising,1,1,30-40 years,Living well,10418,0
High status seniors,1,2,40-50 years,Successful hedonists,19334930,0
"Young, low educated",1,2,40-50 years,Living well,31872,0
Middle class families,2,3,50-60 years,Driven Growers,10257,0
Mixed rurals,1,3,40-50 years,Farmers,43201,0
Middle class families,1,4,40-50 years,Driven Growers,15834,0
Lower class large families,1,3,40-50 years,Family with grown ups,14313,0
Dinki's (double income no kids),1,3,30-40 years,Driven Growers,41192,0
Middle class families,1,3,30-40 years,Driven Growers,43865,0
"Modern, complete families",1,4,40-50 years,Average Family,34090,0
Religious elderly singles,1,2,50-60 years,Retired and Religious,20089,0
Stable family,1,4,30-40 years,Average Family,15810,0
Mixed rurals,1,4,40-50 years,Farmers,18110,0
Stable family,1,4,40-50 years,Average Family,48454,0
Family starters,1,2,50-60 years,Average Family,24697,0
Young all american family,1,3,30-40 years,Average Family,34614,0
Traditional families,1,3,40-50 years,Conservative families,31500,0
Young all american family,1,3,30-40 years,Average Family,10506,0
Lower class large families,1,3,40-50 years,Family with grown ups,5217,0
Lower class large families,1,2,30-40 years,Family with grown ups,35966,0
Lower class large families,1,2,50-60 years,Family with grown ups,22832,0
Residential elderly,1,2,60-70 years,Cruising Seniors,18968,0
Mixed small town dwellers,1,1,50-60 years,Family with grown ups,27661,0
Couples with teens 'Married with children',1,2,50-60 years,Family with grown ups,23334,0
Family starters,2,2,60-70 years,Average Family,29224,0
Family starters,2,2,60-70 years,Average Family,38572,0
Low income catholics,1,3,30-40 years,Retired and Religious,25726,0
Traditional families,1,2,40-50 years,Conservative families,33515,0
Young all american family,1,2,30-40 years,Average Family,30582,0
"Modern, complete families",1,4,30-40 years,Average Family,16371,0
Lower class large families,1,3,40-50 years,Family with grown ups,34663,0
Seniors in apartments,1,2,60-70 years,Cruising Seniors,45719,0
Mixed apartment dwellers,1,2,30-40 years,Living well,40978,0
Young all american family,1,3,40-50 years,Average Family,15753,1
Lower class large families,1,2,50-60 years,Family with grown ups,34909,0
Lower class large families,1,3,40-50 years,Family with grown ups,40811,0
Lower class large families,1,2,50-60 years,Family with grown ups,20357,0
Lower class large families,1,3,40-50 years,Family with grown ups,20653,0
Stable family,1,4,40-50 years,Average Family,21070,0
Career and childcare,1,3,30-40 years,Driven Growers,13283,0
"Modern, complete families",1,3,30-40 years,Average Family,15459,0
Middle class families,1,3,40-50 years,Driven Growers,13939,0
Porchless seniors: no front yard,1,3,40-50 years,Retired and Religious,22879,0
Young all american family,1,3,40-50 years,Average Family,25604,1
Traditional families,1,2,30-40 years,Conservative families,25461,0
Young all american family,1,3,40-50 years,Average Family,19769,0
"Large family, employed child",1,3,30-40 years,Family with grown ups,26064,0
Middle class families,1,3,40-50 years,Driven Growers,15594,0
Lower class large families,1,2,50-60 years,Family with grown ups,15734,0
Lower class large families,1,3,40-50 years,Family with grown ups,17081,0
Couples with teens 'Married with children',1,3,40-50 years,Family with grown ups,27433,0
"Modern, complete families",1,3,30-40 years,Average Family,49729,0
Traditional families,1,3,40-50 years,Conservative families,42786,0
Middle class families,2,4,40-50 years,Driven Growers,42971,0
Village families,1,3,40-50 years,Family with grown ups,45785,0
Mixed seniors,2,2,50-60 years,Retired and Religious,18941,1
Couples with teens 'Married with children',1,2,50-60 years,Family with grown ups,15596,0
High status seniors,1,2,50-60 years,Successful hedonists,19113328,0
"Large family, employed child",2,2,50-60 years,Family with grown ups,12491,0
Traditional families,1,4,40-50 years,Conservative families,21665,0
Couples with teens 'Married with children',1,3,40-50 years,Family with grown ups,26990,0
Lower class large families,1,3,40-50 years,Family with grown ups,19773,0
Large religious families,1,2,30-40 years,Conservative families,10544,0
Young and rising,1,2,40-50 years,Living well,25159,0
High status seniors,1,2,50-60 years,Successful hedonists,40453887,0
"Young, low educated",1,2,30-40 years,Living well,17042,0
Large family farms,1,2,50-60 years,Farmers,38837,0
Couples with teens 'Married with children',1,2,30-40 years,Family with grown ups,16158,0
Mixed seniors,1,2,50-60 years,Successful hedonists,47651,0
Mixed apartment dwellers,1,2,30-40 years,Living well,11963,0
"Modern, complete families",1,3,40-50 years,Average Family,17183,0
Stable family,1,3,40-50 years,Average Family,25146,0
Young and rising,1,3,40-50 years,Living well,43851,0
Large religious families,1,4,40-50 years,Conservative families,40334,0
Lower class large families,1,3,40-50 years,Family with grown ups,31325,0
Lower class large families,1,3,40-50 years,Family with grown ups,42784,0
"Modern, complete families",1,2,40-50 years,Average Family,12852,0
Young and rising,1,2,30-40 years,Living well,22889,0
Affluent young families,2,4,30-40 years,Average Family,339523,0
Affluent senior apartments,1,2,50-60 years,Successful hedonists,661548,0
"Young, low educated",1,3,30-40 years,Living well,38148,0
"Young, low educated",1,2,40-50 years,Living well,15843,0
"Large family, employed child",1,3,40-50 years,Family with grown ups,46703,0
Mixed apartment dwellers,1,1,30-40 years,Living well,18932,0
Religious elderly singles,1,2,60-70 years,Retired and Religious,49373,0
Lower class large families,2,2,40-50 years,Family with grown ups,28700,0
Affluent senior apartments,3,2,50-60 years,Successful hedonists,944444,0
Traditional families,1,3,50-60 years,Conservative families,35718,0
"Large family, employed child",1,4,30-40 years,Family with grown ups,32186,0
"Large family, employed child",1,3,40-50 years,Family with grown ups,48272,0
Stable family,1,2,40-50 years,Average Family,34421,0
Stable family,1,3,40-50 years,Average Family,45181,0
Lower class large families,1,3,40-50 years,Family with grown ups,34748,0
Stable family,1,4,40-50 years,Average Family,29435,0
Affluent young families,2,4,30-40 years,Average Family,490984,0
Mixed seniors,1,3,40-50 years,Retired and Religious,10908,0
Couples with teens 'Married with children',1,2,50-60 years,Family with grown ups,13258,0
Couples with teens 'Married with children',1,2,50-60 years,Family with grown ups,30627,0
Middle class families,1,2,40-50 years,Driven Growers,47249,0
Stable family,1,4,30-40 years,Average Family,18693,0
Village families,1,3,40-50 years,Family with grown ups,48108,0
"Young, low educated",2,2,30-40 years,Living well,31435,0
Family starters,1,2,40-50 years,Average Family,22966,0
Mixed small town dwellers,1,2,30-40 years,Family with grown ups,23741,1
Lower class large families,1,2,40-50 years,Family with grown ups,13544,0
Couples with teens 'Married with children',1,2,50-60 years,Family with grown ups,13119,0
Young and rising,2,2,30-40 years,Living well,19208,0
Mixed apartment dwellers,2,3,40-50 years,Living well,35352,1
"Young, low educated",1,3,30-40 years,Living well,15079,0
Traditional families,1,3,40-50 years,Conservative families,49309,0
Mixed rurals,1,3,40-50 years,Farmers,30834,0
"Modern, complete families",1,4,40-50 years,Average Family,39609,1
Large religious families,2,5,30-40 years,Conservative families,29152,0
"Young, low educated",1,3,40-50 years,Living well,10875,0
Stable family,1,3,40-50 years,Average Family,48918,0
Young all american family,1,5,40-50 years,Average Family,31524,0
Affluent young families,1,3,30-40 years,Average Family,937692,0
High status seniors,1,3,50-60 years,Successful hedonists,38628595,0
Low income catholics,1,2,40-50 years,Retired and Religious,16237,0
"Modern, complete families",1,3,40-50 years,Average Family,48616,0
Stable family,1,3,40-50 years,Average Family,18766,0
Traditional families,1,3,30-40 years,Conservative families,31857,0
Young and rising,1,1,30-40 years,Living well,17485,0
Low income catholics,1,3,40-50 years,Retired and Religious,10202,0
Religious elderly singles,1,3,40-50 years,Retired and Religious,26485,0
Lower class large families,1,2,40-50 years,Family with grown ups,9470,0
Career and childcare,2,4,40-50 years,Driven Growers,47192,0
"Young, low educated",1,3,40-50 years,Living well,34381,0
Mixed rurals,1,3,40-50 years,Farmers,46667,0
Lower class large families,1,3,50-60 years,Family with grown ups,24264,0
Family starters,2,4,30-40 years,Average Family,31644,0
Large family farms,1,3,40-50 years,Farmers,32579,0
Mixed apartment dwellers,1,2,30-40 years,Living well,32403,0
High status seniors,1,2,50-60 years,Successful hedonists,26165197,0
Young all american family,1,3,30-40 years,Average Family,29497,0
Large family farms,1,3,40-50 years,Farmers,16861,0
Mixed apartment dwellers,1,2,30-40 years,Living well,29437,0
"Modern, complete families",1,2,40-50 years,Average Family,32030,0
"Large family, employed child",1,3,40-50 years,Family with grown ups,41681,0
"Modern, complete families",2,3,30-40 years,Average Family,40519,0
Lower class large families,1,3,40-50 years,Family with grown ups,42888,0
Senior cosmopolitans,3,1,50-60 years,Career Loners,49903,0
Middle class families,1,3,30-40 years,Driven Growers,12354,0
Lower class large families,1,3,40-50 years,Family with grown ups,24516,0
"Modern, complete families",1,3,40-50 years,Average Family,18962,0
Large religious families,2,5,30-40 years,Conservative families,39308,0
"High Income, expensive child",1,3,40-50 years,Successful hedonists,41269615,1
Stable family,3,4,40-50 years,Average Family,49548,0
Religious elderly singles,1,3,40-50 years,Retired and Religious,16000,0
Traditional families,1,2,30-40 years,Conservative families,34001,0
"High Income, expensive child",1,3,30-40 years,Successful hedonists,23543955,0
Religious elderly singles,1,2,60-70 years,Retired and Religious,26422,0
Lower class large families,1,3,40-50 years,Family with grown ups,18455,0
Young seniors in the city,1,1,60-70 years,Cruising Seniors,48279,0
Mixed seniors,1,2,50-60 years,Retired and Religious,28138,0
Mixed small town dwellers,1,2,50-60 years,Family with grown ups,42546,0
Traditional families,1,3,40-50 years,Conservative families,10179,0
"Modern, complete families",1,3,30-40 years,Average Family,29125,0
"Modern, complete families",1,3,40-50 years,Average Family,28176,0
Lower class large families,1,3,40-50 years,Family with grown ups,6953,0
Large religious families,1,4,30-40 years,Conservative families,34988,0
Middle class families,1,3,40-50 years,Driven Growers,39004,0
Lower class large families,1,3,40-50 years,Family with grown ups,24824,0
Seniors in apartments,1,1,70-80 years,Cruising Seniors,27724,0
Porchless seniors: no front yard,1,2,20-30 years,Retired and Religious,33590,0
Mixed small town dwellers,1,2,40-50 years,Family with grown ups,20720,0
Young and rising,1,1,30-40 years,Living well,32716,0
Traditional families,1,2,50-60 years,Conservative families,32698,0
Large religious families,1,3,30-40 years,Conservative families,34601,0
Low income catholics,1,2,40-50 years,Retired and Religious,38689,0
Large religious families,1,2,50-60 years,Conservative families,44034,0
High status seniors,1,3,40-50 years,Successful hedonists,35578141,1
Lower class large families,1,2,50-60 years,Family with grown ups,48334,1
Mixed small town dwellers,1,2,50-60 years,Family with grown ups,38013,0
Village families,1,3,40-50 years,Family with grown ups,40346,0
Mixed rurals,1,3,40-50 years,Farmers,25042,0
Middle class families,2,4,40-50 years,Driven Growers,22815,1
Mixed seniors,1,2,50-60 years,Retired and Religious,30368,1
Mixed rurals,1,3,40-50 years,Farmers,18976,0
Career and childcare,1,3,40-50 years,Driven Growers,32748,0
Village families,1,2,40-50 years,Family with grown ups,33920,0
"Modern, complete families",1,2,40-50 years,Average Family,24440,1
Low income catholics,1,3,50-60 years,Retired and Religious,15536,0
Lower class large families,1,2,50-60 years,Family with grown ups,42834,0
Young and rising,1,1,30-40 years,Living well,14561,0
Family starters,1,2,40-50 years,Average Family,20808,0
Young all american family,1,3,30-40 years,Average Family,19966,0
Lower class large families,1,4,40-50 years,Family with grown ups,39579,0
Affluent young families,1,3,30-40 years,Average Family,635161,1
Large religious families,1,4,30-40 years,Conservative families,24117,0
Middle class families,1,3,40-50 years,Driven Growers,48226,0
Lower class large families,1,2,50-60 years,Family with grown ups,47380,0
Young all american family,1,3,30-40 years,Average Family,38989,0
Mixed seniors,1,2,40-50 years,Retired and Religious,30930,0
Traditional families,1,3,40-50 years,Conservative families,36151,0
Mixed rurals,1,2,40-50 years,Farmers,22318,0
Traditional families,1,3,40-50 years,Conservative families,41337,0
Mixed rurals,1,4,30-40 years,Farmers,33989,0
Affluent young families,1,4,30-40 years,Average Family,780369,0
Young and rising,1,2,30-40 years,Living well,43855,0
Affluent young families,1,3,30-40 years,Average Family,662931,0
"Modern, complete families",1,2,40-50 years,Average Family,40011,0
Middle class families,1,3,40-50 years,Driven Growers,28070,0
Religious elderly singles,1,2,50-60 years,Retired and Religious,36098,0
Family starters,1,3,40-50 years,Average Family,18098,0
Mixed rurals,1,3,40-50 years,Farmers,42686,0
Very Important Provincials,1,4,30-40 years,Successful hedonists,38261,0
Mixed rurals,1,3,40-50 years,Farmers,30672,0
Large religious families,1,2,50-60 years,Conservative families,17754,0
"Modern, complete families",1,2,50-60 years,Average Family,46026,0
Career and childcare,2,3,40-50 years,Driven Growers,25931,0
Middle class families,2,4,40-50 years,Driven Growers,40151,1
Lower class large families,1,2,30-40 years,Family with grown ups,10974,0
Lower class large families,2,2,40-50 years,Family with grown ups,33255,0
Lower class large families,1,3,40-50 years,Family with grown ups,16179,0
"High Income, expensive child",1,2,50-60 years,Successful hedonists,16981169,0
Lower class large families,1,2,50-60 years,Family with grown ups,45506,1
Lower class large families,1,4,30-40 years,Family with grown ups,41313,0
Low income catholics,1,2,40-50 years,Retired and Religious,3089,0
Middle class families,1,2,50-60 years,Driven Growers,43389,0
Lower class large families,1,3,40-50 years,Family with grown ups,23619,0
Lower class large families,1,4,40-50 years,Family with grown ups,12441,1
Porchless seniors: no front yard,1,3,40-50 years,Retired and Religious,31692,0
Young and rising,1,2,20-30 years,Living well,34568,0
Mixed small town dwellers,1,3,40-50 years,Family with grown ups,14410,0
Middle class families,2,3,40-50 years,Driven Growers,13317,1
"Modern, complete families",1,2,50-60 years,Average Family,17811,0
Lower class large families,2,4,30-40 years,Family with grown ups,6829,0
Large religious families,1,3,40-50 years,Conservative families,30330,0
Low income catholics,1,2,40-50 years,Retired and Religious,7163,0
Couples with teens 'Married with children',1,3,40-50 years,Family with grown ups,20553,1
"Large family, employed child",1,3,40-50 years,Family with grown ups,43273,0
Large religious families,1,2,30-40 years,Conservative families,36068,0
Young all american family,1,3,50-60 years,Average Family,27823,0
Very Important Provincials,1,2,50-60 years,Successful hedonists,36750,0
Religious elderly singles,1,2,30-40 years,Retired and Religious,15215,0
Young seniors in the city,1,4,30-40 years,Cruising Seniors,43302,0
Stable family,1,4,40-50 years,Average Family,12378,0
Young and rising,1,2,40-50 years,Living well,46744,0
Young and rising,2,1,20-30 years,Living well,28507,0
Mixed small town dwellers,1,2,40-50 years,Family with grown ups,15723,0
Young all american family,1,3,30-40 years,Average Family,42022,0
Mixed rurals,1,3,40-50 years,Farmers,23369,0
Mixed seniors,1,3,40-50 years,Successful hedonists,49876,0
Own home elderly,1,1,60-70 years,Cruising Seniors,26402,0
Mixed rurals,1,3,40-50 years,Farmers,49785,0
Young all american family,1,2,30-40 years,Average Family,38141,0
Religious elderly singles,1,3,40-50 years,Retired and Religious,41961,0
Young all american family,1,2,30-40 years,Average Family,21570,0
"Large family, employed child",1,4,40-50 years,Family with grown ups,20315,0
Very Important Provincials,1,3,40-50 years,Successful hedonists,41240,0
High status seniors,1,3,40-50 years,Successful hedonists,39682649,0
Large religious families,1,2,40-50 years,Conservative families,28391,0
Career and childcare,1,3,40-50 years,Driven Growers,42243,1
Mixed seniors,1,2,50-60 years,Successful hedonists,43717,0
"High Income, expensive child",1,3,50-60 years,Successful hedonists,27222333,0
Young all american family,1,2,30-40 years,Average Family,24247,0
High status seniors,1,2,50-60 years,Successful hedonists,22493855,0
"Large family, employed child",2,3,30-40 years,Family with grown ups,34858,0
Mixed rurals,1,3,40-50 years,Farmers,19802,0
Mixed rurals,1,3,40-50 years,Farmers,25788,0
Lower class large families,1,2,40-50 years,Family with grown ups,37840,0
Low income catholics,1,3,40-50 years,Retired and Religious,10274,0
Traditional families,1,4,30-40 years,Conservative families,11632,0
High status seniors,1,3,40-50 years,Successful hedonists,30206412,0
Mixed rurals,1,4,40-50 years,Farmers,34080,0
Mixed rurals,1,3,40-50 years,Farmers,36519,0
"Large family, employed child",2,2,50-60 years,Family with grown ups,13164,0
Affluent senior apartments,1,2,50-60 years,Successful hedonists,568883,0
Affluent young families,1,3,30-40 years,Average Family,436138,0
Mixed small town dwellers,1,3,40-50 years,Family with grown ups,11207,0
Low income catholics,1,3,30-40 years,Retired and Religious,23548,0
Affluent senior apartments,3,2,50-60 years,Successful hedonists,788477,0
"Modern, complete families",2,4,40-50 years,Average Family,21267,0
Couples with teens 'Married with children',1,2,50-60 years,Family with grown ups,34591,0
Affluent young families,1,3,40-50 years,Average Family,473664,0
Religious elderly singles,1,2,50-60 years,Retired and Religious,30841,0
Lower class large families,1,2,40-50 years,Family with grown ups,33222,0
Low income catholics,1,2,50-60 years,Retired and Religious,3710,0
High status seniors,1,5,40-50 years,Successful hedonists,27103594,0
Village families,1,3,30-40 years,Family with grown ups,35641,0
Middle class families,1,4,40-50 years,Driven Growers,43710,0
Young and rising,2,1,20-30 years,Living well,21453,0
Family starters,1,2,40-50 years,Average Family,43182,0
Middle class families,1,3,40-50 years,Driven Growers,18250,0
Couples with teens 'Married with children',1,2,50-60 years,Family with grown ups,46556,0
Middle class families,1,4,40-50 years,Driven Growers,39682,0
Low income catholics,1,3,30-40 years,Retired and Religious,33260,0
Lower class large families,1,2,50-60 years,Family with grown ups,26564,0
"Large family, employed child",1,4,30-40 years,Family with grown ups,32134,0
Family starters,2,2,60-70 years,Average Family,18443,0
Lower class large families,1,3,40-50 years,Family with grown ups,22616,0
Religious elderly singles,1,3,40-50 years,Retired and Religious,14650,0
Low income catholics,1,4,40-50 years,Retired and Religious,19068,0
Lower class large families,1,3,40-50 years,Family with grown ups,35183,1
Lower class large families,2,4,30-40 years,Family with grown ups,45931,0
Middle class families,1,3,50-60 years,Driven Growers,43640,0
Mixed apartment dwellers,1,3,40-50 years,Living well,48793,0
Middle class families,1,2,40-50 years,Driven Growers,16264,0
Lower class large families,1,4,40-50 years,Family with grown ups,35785,0
Large religious families,1,2,40-50 years,Conservative families,18037,0
Mixed seniors,1,3,40-50 years,Retired and Religious,41471,0
Village families,1,2,40-50 years,Family with grown ups,15162,0
Lower class large families,2,3,40-50 years,Family with grown ups,5166,0
Village families,1,2,50-60 years,Family with grown ups,39150,0
High status seniors,1,2,50-60 years,Successful hedonists,5653653,0
Lower class large families,1,3,40-50 years,Family with grown ups,23919,0
Young and rising,1,2,30-40 years,Living well,38679,0
Large religious families,1,3,30-40 years,Conservative families,17937,0
Affluent young families,1,3,30-40 years,Average Family,843260,0
Young and rising,1,1,20-30 years,Living well,49039,0
Village families,1,3,40-50 years,Family with grown ups,31332,0
Young and rising,1,2,30-40 years,Living well,37345,0
Young and rising,1,2,40-50 years,Living well,45164,0
"Young, low educated",1,2,30-40 years,Living well,10677,0
Lower class large families,1,3,40-50 years,Family with grown ups,41491,0
Middle class families,1,4,40-50 years,Driven Growers,26323,0
Traditional families,1,2,30-40 years,Conservative families,31772,1
Young seniors in the city,1,2,40-50 years,Cruising Seniors,24796,0
Middle class families,1,4,30-40 years,Driven Growers,21129,0
"Modern, complete families",1,3,30-40 years,Average Family,28783,0
Village families,1,3,40-50 years,Family with grown ups,17197,0
Traditional families,1,2,40-50 years,Conservative families,28153,0
Village families,1,2,50-60 years,Family with grown ups,32916,0
"High Income, expensive child",1,3,30-40 years,Successful hedonists,12372006,0
Career and childcare,1,3,30-40 years,Driven Growers,44664,0
Young all american family,1,3,40-50 years,Average Family,19630,0
Stable family,1,4,30-40 years,Average Family,47581,0
Traditional families,1,3,40-50 years,Conservative families,35925,0
Seniors in apartments,2,2,60-70 years,Cruising Seniors,48069,0
Traditional families,1,3,40-50 years,Conservative families,32884,0
"Modern, complete families",1,3,30-40 years,Average Family,36007,0
Village families,1,2,50-60 years,Family with grown ups,47524,0
Lower class large families,1,3,30-40 years,Family with grown ups,43512,0
Family starters,1,2,30-40 years,Average Family,44311,0
Middle class families,2,4,40-50 years,Driven Growers,36331,0
Lower class large families,1,3,30-40 years,Family with grown ups,46089,0
Large religious families,1,3,30-40 years,Conservative families,47727,0
Religious elderly singles,1,2,50-60 years,Retired and Religious,37643,0
"Modern, complete families",1,2,40-50 years,Average Family,37597,0
Dinki's (double income no kids),1,2,40-50 years,Driven Growers,20121,0
Mixed apartment dwellers,1,1,50-60 years,Living well,12362,0
Large religious families,1,3,30-40 years,Conservative families,16196,0
Lower class large families,1,3,40-50 years,Family with grown ups,21062,0
Young and rising,1,2,40-50 years,Living well,24889,0
High status seniors,1,2,40-50 years,Successful hedonists,41398953,0
Religious elderly singles,1,3,40-50 years,Retired and Religious,41542,0
Middle class families,1,3,40-50 years,Driven Growers,24683,0
Lower class large families,1,4,40-50 years,Family with grown ups,14105,0
Porchless seniors: no front yard,1,2,40-50 years,Retired and Religious,43438,0
Suburban youth,1,2,60-70 years,Career Loners,32558,0
Lower class large families,1,2,50-60 years,Family with grown ups,25712,0
Mixed rurals,1,3,40-50 years,Farmers,29156,0
Stable family,1,4,40-50 years,Average Family,30928,0
Stable family,2,4,40-50 years,Average Family,43194,0
Young and rising,5,1,40-50 years,Living well,17123,0
"Young, low educated",1,2,30-40 years,Living well,44356,0
Low income catholics,1,3,40-50 years,Retired and Religious,9698,0
Lower class large families,1,3,40-50 years,Family with grown ups,19750,1
Young all american family,1,3,30-40 years,Average Family,34306,0
Low income catholics,1,3,40-50 years,Retired and Religious,39742,0
Mixed seniors,1,2,50-60 years,Retired and Religious,48980,0
Affluent young families,1,3,40-50 years,Average Family,730234,0
Religious elderly singles,1,2,40-50 years,Retired and Religious,13701,0
Traditional families,1,3,40-50 years,Conservative families,11252,0
"Modern, complete families",1,4,40-50 years,Average Family,46889,0
"Modern, complete families",1,3,40-50 years,Average Family,17484,0
High status seniors,1,2,50-60 years,Successful hedonists,31300169,0
Very Important Provincials,1,4,30-40 years,Successful hedonists,20726,0
Large religious families,1,3,30-40 years,Conservative families,41348,0
Very Important Provincials,1,3,50-60 years,Successful hedonists,12705,0
Couples with teens 'Married with children',1,4,40-50 years,Family with grown ups,38221,0
Mixed seniors,1,3,40-50 years,Retired and Religious,13538,0
Stable family,1,3,40-50 years,Average Family,39221,0
Young seniors in the city,3,2,40-50 years,Cruising Seniors,11641,0
Stable family,1,4,30-40 years,Average Family,27081,0
Lower class large families,1,2,50-60 years,Family with grown ups,35739,0
Career and childcare,1,3,30-40 years,Driven Growers,25334,0
Large religious families,1,3,30-40 years,Conservative families,31150,0
Affluent senior apartments,3,2,50-60 years,Successful hedonists,994077,0
"Modern, complete families",1,4,30-40 years,Average Family,37319,0
"High Income, expensive child",1,2,50-60 years,Successful hedonists,31308916,0
Traditional families,1,3,40-50 years,Conservative families,39280,0
Mixed rurals,1,3,40-50 years,Farmers,31985,0
Middle class families,2,3,40-50 years,Driven Growers,26349,0
Lower class large families,1,2,40-50 years,Family with grown ups,29674,0
"Large family, employed child",1,4,30-40 years,Family with grown ups,46167,0
Large family farms,1,3,30-40 years,Farmers,11445,0
Mixed seniors,1,2,50-60 years,Retired and Religious,46128,0
"Modern, complete families",2,3,30-40 years,Average Family,30257,0
Dinki's (double income no kids),1,3,40-50 years,Driven Growers,21771,0
Traditional families,1,3,40-50 years,Conservative families,32450,0
Family starters,1,3,40-50 years,Average Family,27883,0
Mixed rurals,1,3,30-40 years,Farmers,25303,1
Mixed small town dwellers,1,2,20-30 years,Family with grown ups,16406,0
High status seniors,1,1,60-70 years,Successful hedonists,2233949,0
Family starters,1,2,50-60 years,Average Family,40839,0
Lower class large families,1,2,50-60 years,Family with grown ups,4350,0
Mixed rurals,1,5,40-50 years,Farmers,31614,0
Mixed rurals,1,3,40-50 years,Farmers,46840,0
Traditional families,1,3,40-50 years,Conservative families,31661,0
Village families,1,3,40-50 years,Family with grown ups,46019,0
"Modern, complete families",1,4,30-40 years,Average Family,11363,0
Religious elderly singles,1,3,40-50 years,Retired and Religious,16805,0
Young seniors in the city,1,2,50-60 years,Cruising Seniors,25402,0
Lower class large families,1,2,50-60 years,Family with grown ups,47213,0
Low income catholics,1,2,40-50 years,Retired and Religious,25096,0
Couples with teens 'Married with children',1,2,50-60 years,Family with grown ups,46865,0
Lower class large families,2,4,30-40 years,Family with grown ups,28956,0
Village families,1,2,50-60 years,Family with grown ups,19234,0
Family starters,1,3,30-40 years,Average Family,18850,0
Young and rising,1,2,30-40 years,Living well,49536,0
Young all american family,1,3,40-50 years,Average Family,10788,0
Mixed seniors,1,1,20-30 years,Successful hedonists,42261,0
Lower class large families,1,3,30-40 years,Family with grown ups,46878,0
Large religious families,1,4,30-40 years,Conservative families,22874,0
Mixed rurals,1,3,40-50 years,Farmers,24519,0
Single youth,2,1,20-30 years,Career Loners,35078,0
"High Income, expensive child",1,3,40-50 years,Successful hedonists,18840692,0
Large religious families,1,2,50-60 years,Conservative families,42221,0
Traditional families,1,2,50-60 years,Conservative families,12856,0
"Modern, complete families",1,3,30-40 years,Average Family,30292,0
High status seniors,1,2,60-70 years,Successful hedonists,39582001,0
"Large family, employed child",1,2,40-50 years,Family with grown ups,26436,0
Large religious families,2,3,40-50 years,Conservative families,44551,0
Lower class large families,1,3,40-50 years,Family with grown ups,42364,0
Village families,1,3,40-50 years,Family with grown ups,21493,1
Mixed seniors,1,3,40-50 years,Retired and Religious,27756,0
Low income catholics,1,4,40-50 years,Retired and Religious,8220,0
High status seniors,1,2,50-60 years,Successful hedonists,38762827,0
Village families,1,3,40-50 years,Family with grown ups,15766,0
Affluent young families,1,3,30-40 years,Average Family,365943,1
Very Important Provincials,1,3,40-50 years,Successful hedonists,13663,0
Large family farms,1,2,50-60 years,Farmers,46893,0
Porchless seniors: no front yard,1,3,40-50 years,Retired and Religious,42741,0
Mixed seniors,1,3,50-60 years,Successful hedonists,13426,0
High status seniors,1,3,50-60 years,Successful hedonists,27415367,0
Couples with teens 'Married with children',1,3,40-50 years,Family with grown ups,48926,0
Affluent senior apartments,1,2,50-60 years,Successful hedonists,382553,0
Porchless seniors: no front yard,1,2,20-30 years,Retired and Religious,15337,0
Lower class large families,1,4,40-50 years,Family with grown ups,18582,0
Couples with teens 'Married with children',1,2,50-60 years,Family with grown ups,15880,0
Young and rising,1,2,20-30 years,Living well,13647,0
Mixed apartment dwellers,1,1,30-40 years,Living well,12066,0
Lower class large families,1,3,30-40 years,Family with grown ups,21868,0
Middle class families,1,4,40-50 years,Driven Growers,18240,1
Middle class families,1,3,30-40 years,Driven Growers,43565,0
Mixed rurals,1,3,40-50 years,Farmers,29281,0
Couples with teens 'Married with children',1,3,40-50 years,Family with grown ups,17018,0
Mixed rurals,1,4,30-40 years,Farmers,24063,0
High status seniors,1,2,50-60 years,Successful hedonists,14513483,0
"Large family, employed child",1,4,40-50 years,Family with grown ups,39602,0
Traditional families,1,2,50-60 years,Conservative families,29372,1
Own home elderly,1,1,60-70 years,Cruising Seniors,22087,0
"Modern, complete families",1,4,40-50 years,Average Family,48694,0
